#,都府県振興局,アメダス観測所番号,地上観測所観測所番号,種類,観測装置の種類,観測_降水量,観測_気温,観測_風向,観測_風速,観測_相対湿度,観測_日照時間（ESは気象衛星等のデータからの推計値）,観測_降雪の深さ,観測所名_漢字名,観測所名_カタカナ名,観測所名_ローマ字名,観測所名_気象情報等に表記する名称,所在地_住所1,所在地_住所2,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,観測終了年月日,備考1,備考2
#,Prefectural Development Bureau,AMeDAS station number,Surface station station number,Type,Type of Observation Instrument,Observation_Precipitation,Observation_Temperature,Observation_wind_direction,Wind Speed,Relative humidity,Sunshine hours (ES is estimated from meteorological satellite data),Observation_Depth of snowfall,Station name_Kanji,Station name_Katakana,Station name_Roman alphabet,"Station name_Name to be written in meteorological information,etc.",Location_Address1,Location_Address2,Latitude (degree),Latitude (minutes),Longitude(degree),Longitude (minutes),Height above sea level (m),Height of anemometer (m),Height of thermometer (m),Observation start date,Observation end date,Remark 1,Remark 2
279,秋田,32407,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,岩見三内,イワミサンナイ,IWAMISANNAI,秋田市岩見三内,秋田市河辺三内字外川原,-,39,42.4,140,17.2,41,10.1,2.5,#1976.11.25,-,-,-
280,秋田,32408,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,仁別,ニベツ,NIBETSU,秋田市仁別,秋田市仁別字マンタラメ,-,39,48,140,13,179,-,-,1985.6.14,-,-,-
281,秋田,32426,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,鎧畑,ヨロイバタ,YOROIBATA,仙北市鎧畑,仙北市田沢湖町田沢字鎧畑,-,39,46.5,140,39.9,281,-,-,1977.7.5,-,-,-
282,秋田,32431,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,田沢湖高原,タザワココウゲン,TAZAWAKO-KOGEN,仙北市田沢湖高原,仙北市田沢湖生保内字駒ヶ岳,-,39,46.7,140,45.7,652,-,-,19906.8.29,-,-,-
283,秋田,32451,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,Y,雄和,ユウワ,YUWA,秋田市雄和,秋田市雄和椿川字山籠,秋田航空気象観測所,39,36.9,140,13.1,93,10,-,2003.1.1,-,32965,日照・湿度・気圧を除く
284,秋田,32466,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,角館,カクノダテ,KAKUNODATE,角館,仙北市角館町小勝田鵜の崎,-,39,36.2,140,33.4,56,10,2,#1976.11.18,-,32930,湿度を除く
285,秋田,32476,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,田沢湖,タザワコ,TAZAWAKO,田沢湖,仙北市田沢湖生保内字宮の後,-,39,41.9,140,43.9,230,6.5,2,#1976.11.19,-,-,湿度を除く
286,秋田,32496,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,大正寺,ダイショウジ,DAISHOJI,秋田市大正寺,秋田市雄和新波字寺沢,-,39,31.6,140,14,20,6.5,2,(1975.5.27)1976.11.20,-,32935,湿度を除く
287,秋田,32551,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,大曲,オオマガリ,OMAGARI,大曲,大仙市四ツ屋字下古道,-,39,29.4,140,29.7,30,10,2,#1976.11.17,-,-,湿度を除く
288,秋田,32571,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,本荘,ホンジョウ,HONJO,本荘,由利本荘市埋田字用堰南,-,39,21.6,140,3.3,11,6.5,1.5,#1976.11.20,-,32940,湿度を除く
289,秋田,32581,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,東由利,ヒガシユリ,HIGASHIYURI,東由利,由利本荘市東由利老方字後田,-,39,18.3,140,17.3,117,10,2.5,1976.11.17,-,-,湿度を除く
290,秋田,32596,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,横手,ヨコテ,YOKOTE,横手,横手市横手町大樋,-,39,19.2,140,33.3,59,10,2.5,#1976.4.1,-,32945,湿度を除く
291,秋田,32616,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,にかほ,ニカホ,KISAKATA,にかほ,にかほ市金浦字南金浦,-,39,15.3,139,54.8,7,10.1,2,#1976.11.19,-,-,-
292,秋田,32626,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,矢島,ヤシマ,YASHIMA,矢島,由利本荘市矢島町城内字築館,-,39,14.1,140,8.2,46,10,2.5,#1976.11.18,-,32950,湿度を除く
293,秋田,32681,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,笹子,ジネゴ,JINEGO,由利本荘市笹子,由利本荘市鳥海町上笹子字川合,-,39,6.2,140,17.6,200,-,-,1983.9.14,-,-,-
294,秋田,32691,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,湯沢,ユザワ,YUZAWA,湯沢,湯沢市金谷字樋ノ口,-,39,11.2,140,27.8,74,10,2.5,#1976.11.16,-,32960,湿度を除く
295,秋田,32701,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,東成瀬,ヒガシナルセ,HIGASHINARUSE,東成瀬,雄勝郡東成瀬村田子内字仙人下,-,39,10.7,140,38.9,191,-,-,1976.7.27,-,-,-
296,秋田,32771,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,湯の岱,ユノタイ,YUNOTAI,湯沢市湯の岱,湯沢市秋の宮字湯の岱,-,38,57.6,140,31.7,335,6.5,3,#1976.11.15,-,32955,湿度を除く
297,岩手,33006,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,種市,タネイチ,TANEICHI,洋野町種市,九戸郡洋野町種市第21地割,-,40,24.2,141,42,70,6.5,2,#1976.11.20,-,-,湿度を除く
298,岩手,33026,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,軽米,カルマイ,KARUMAI,軽米,九戸郡軽米町大字上舘第15地割,-,40,19.5,141,28,148,10,2,#1976.11.21,-,-,湿度を除く
299,岩手,33071,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,二戸,ニノヘ,NINOHE,二戸,二戸市堀野字馬場,-,40,17.9,141,17.9,87,6.5,2,#1976.11.22,-,33905,湿度を除く
300,岩手,33086,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,大野,オオノ,ONO,洋野町大野,九戸郡洋野町大野,-,40,16.9,141,40,200,-,-,1975.5.23,-,-,-
301,岩手,33136,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,山形,ヤマガタ,YAMAGATA,久慈市山形,久慈市山形町川井,-,40,8.9,141,34.3,290,10,2.5,1977.10.31,-,-,湿度を除く
302,岩手,33146,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,久慈,クジ,KUJI,久慈,久慈市小久慈町第24地割,-,40,10.1,141,44.9,13,9.9,2,#1976.11.19,-,33960,-
303,岩手,33166,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,荒屋,アラヤ,ARAYA,八幡平市荒屋,八幡平市叺田,-,40,6.2,141,3,290,10.1,2,1976.12.14,-,-,-
304,岩手,33176,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,奥中山,オクナカヤマ,OKUNAKAYAMA,一戸町奥中山,二戸郡一戸町小繋字西田子,-,40,3.6,141,13.5,430,10,2,1977.10.27,-,33915,湿度を除く
305,岩手,33186,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,葛巻,クズマキ,KUZUMAKI,葛巻,岩手郡葛巻町葛巻第7地割字元町,-,40,2.4,141,27.4,418,10,2,#1976.12.13,-,33920,湿度を除く
306,岩手,33201,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,下戸鎖,シモトクサリ,SHIMOTOKUSARI,久慈市下戸鎖,久慈市山根町字下戸鎖,-,40,5.1,141,42.7,232,-,-,1978.12.21,-,-,-
307,岩手,33206,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,普代,フダイ,FUDAI,普代,下閉伊郡普代村第13地割字普代,-,40,0.2,141,53,8,9.4,2,1976.11.22,-,-,湿度を除く
308,岩手,33226,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,岩手松尾,イワテマツオ,IWATEMATSUO,八幡平市岩手松尾,八幡平市野駄,-,39,57.1,141,3.9,275,10,2,#1976.12.1,-,33910,湿度を除く
309,岩手,33231,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,一方井,イッカタイ,IKKATAI,岩手町一方井,岩手郡岩手町大字一方井第15地割,-,39,58.4,141,10,285,-,-,19906.9.3,-,-,-
310,岩手,33296,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,好摩,コウマ,KOMA,盛岡市好摩,盛岡市好摩字芋田向,-,39,52.1,141,10,205,10,2,(1975.5.22)1976.12.14,-,-,湿度を除く
311,岩手,33326,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,岩泉,イワイズミ,IWAIZUMI,岩泉,下閉伊郡岩泉町岩泉字中家,-,39,50.8,141,47.7,105,9.9,2.5,#1976.11.24,-,33965,-
312,岩手,33336,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,小本,オモト,OMOTO,岩泉町小本,下閉伊郡岩泉町小本字下中野,-,39,50.8,141,57.8,3,10,2,1977.10.26,-,-,湿度を除く
313,岩手,33351,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,葛根田,カッコンダ,KAKKONDA,雫石町葛根田,岩手郡雫石町西根第3地割上篠崎,-,39,46.6,140,56.7,350,-,-,1977.7.5,-,-,-
314,岩手,33361,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,滝沢,タキザワ,TAKIZAWA,滝沢,滝沢市湯舟沢,-,39,46.8,141,5.8,210,-,-,2005.10.21,-,-,-
315,岩手,33371,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,薮川,ヤブカワ,YABUKAWA,盛岡市薮川,盛岡市薮川字外山,-,39,47,141,19.7,680,10,2.5,(1975.11.13)1976.11.25,-,-,湿度を除く
316,岩手,33421,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,雫石,シズクイシ,SHIZUKUISHI,雫石,岩手郡雫石町第40地割字千刈田,-,39,41.8,140,58.5,195,8.5,2.5,#1976.11.26,-,33925,湿度を除く
317,岩手,33431,47584,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,盛岡,モリオカ,MORIOKA,盛岡,盛岡市山王町,盛岡地方気象台,39,41.9,141,9.9,155,15.5,-,#1975.4.1,-,33927,-
318,岩手,33441,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,区界,クザカイ,KUZAKAI,宮古市区界,宮古市区界第2地割,-,39,39,141,21.2,734,10,2.5,1993.10.7,-,33955,湿度を除く
319,岩手,33472,47585,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,宮古,ミヤコ,MIYAKO,宮古,宮古市鍬ケ崎下町,宮古特別地域気象観測所,39,38.8,141,57.9,43,20.3,-,1990.10.18,-,33933,-
320,岩手,33486,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,沢内,サワウチ,SAWAUCHI,西和賀町沢内,和賀郡西和賀町沢内字貝沢4地割,-,39,32.9,140,50.6,407,10,3,19909.7.11,-,-,湿度を除く
321,岩手,33501,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,紫波,シワ,SHIWA,紫波,紫波郡紫波町稲藤字七郷,-,39,32.8,141,7.6,125,10,2,1977.1.1,-,-,湿度を除く
322,岩手,33526,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,川井,カワイ,KAWAI,宮古市川井,宮古市川井,-,39,35.9,141,40.9,192,6.5,2,1977.12.2,-,-,湿度を除く
323,岩手,33566,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,豊沢,トヨサワ,KOMAGASHIRAYAMA,花巻市豊沢,花巻市北豊沢山国有林,-,39,28.8,140,58.1,300,-,-,1983.11.16,-,-,-
324,岩手,33576,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,N,花巻,ハナマキ,HANAMAKI,花巻,花巻市葛第3地割,花巻航空気象観測所,39,25.7,141,8.1,90,10,-,2003.1.1,-,-,日照・湿度・気圧を除く
325,岩手,33581,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,大迫,オオハサマ,OHASAMA,花巻市大迫,花巻市大迫町大迫第13地割,-,39,28.2,141,16.7,150,10,2,#1976.11.18,-,-,湿度を除く
326,岩手,33596,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,附馬牛,ツキモウシ,TSUKIMOSHI,遠野市附馬牛,遠野市附馬牛町上附馬牛19地割,-,39,27.4,141,30.4,440,-,-,2005.10.20,-,-,-
327,岩手,33611,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,大槌,オオツチ,OTSUCHI,大槌,上閉伊郡大槌町金沢,-,39,26.3,141,48.4,120,-,-,2000.11.17,-,-,-
328,岩手,33616,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,山田,ヤマダ,YAMADA,山田,下閉伊郡山田町織笠第11地割,-,39,27,141,57.4,24,6.5,2,(1975.5.22)1976.11.19,-,-,湿度を除く
329,岩手,33631,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,湯田,ユダ,YUDA,西和賀町湯田,和賀郡西和賀町上野々第39地割,-,39,18.6,140,46.6,250,9.9,3.5,#1976.2.26,-,33935,-
330,岩手,33671,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,遠野,トオノ,TOONO,遠野,遠野市松崎町白岩24地割,-,39,20.3,141,32.6,275,10.1,2,#1976.11.22,-,33930,-
331,岩手,33711,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,金ヶ崎,カネガサキ,KANEGASAKI,金ケ崎,胆沢郡金ケ崎町西根千貫石,-,39,13.5,141,0.9,170,-,-,2005.10.19,-,-,-
332,岩手,33716,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,北上,キタカミ,KITAKAMI,北上,北上市芳町,-,39,17.3,141,6.6,61,6.5,2,#1976.12.4,-,33940,湿度を除く
333,岩手,33726,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,米里,ヨネサト,YONESATO,奥州市米里,奥州市江刺米里字荒田表,-,39,14,141,18.6,170,-,-,1976.9.9,-,-,-
334,岩手,33751,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,釜石,カマイシ,KAMAISHI,釜石,釜石市港町,-,39,16.2,141,52.7,5,10,2,#1976.11.20,-,-,湿度を除く
335,岩手,33776,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,若柳,ワカヤナギ,WAKAYANAGI,奥州市若柳,奥州市胆沢若柳字倉舘,-,39,8.4,141,3.8,97,10,2,#1976.11.26,-,-,湿度を除く
336,岩手,33781,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,江刺,エサシ,ESASHI,奥州市江刺,奥州市江刺愛宕字八日市,-,39,11,141,9.7,42,10,2,#1976.11.25,-,-,湿度を除く
337,岩手,33801,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,住田,スミタ,SUMITA,住田,気仙郡住田町世田米字川向,-,39,8.5,141,34.4,80,10,2,1977.10.20,-,-,湿度を除く
338,岩手,33831,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,Y,祭畤,マツルベ,MATSURUBE,一関市祭畤,一関市厳美町祭畤,-,39,0.7,140,51.9,350,-,-,1975.5.21,-,33945,-
339,岩手,33841,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,衣川,コロモガワ,KOROMOGAWA,奥州市衣川,奥州市衣川懸田,-,39,3,141,2.7,75,-,-,1975.5.25,-,-,-
340,岩手,33856,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,大東,ダイトウ,DAITO,一関市大東,一関市大東町猿沢字上ノ洞,-,39,2.3,141,17.8,140,-,-,2005.10.18,-,-,-
341,岩手,33877,47512,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,大船渡,オオフナト,OFUNATO,大船渡,大船渡市大船渡町字赤沢,大船渡特別地域気象観測所,39,3.8,141,42.8,37,22.2,-,#1990.3.15,-,33947,-
342,岩手,33911,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,一関,イチノセキ,ICHINOSEKI,一関,一関市竹山町,-,38,56,141,7.5,32,10.1,2,#1976.2.15,-,33950,-
343,岩手,33921,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,千厩,センマヤ,SEMMAYA,一関市千厩,一関市千厩町千厩字北方,-,38,55.3,141,19.8,120,10,2,#1976.11.27,-,-,湿度を除く
344,宮城,34012,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,駒ノ湯,コマノユ,KOMANOYU,栗原市駒ノ湯,栗原市栗駒沼倉耕英南,-,38,54.8,140,49.7,525,6.5,2.5,1976.11.29,-,34906,湿度を除く
345,宮城,34026,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,気仙沼,ケセンヌマ,KESENNUMA,気仙沼,気仙沼市古町,-,38,54.4,141,33.4,62,10,1.5,#1976.12.2,-,-,湿度を除く
346,宮城,34056,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,鴬沢,ウグイスザワ,UGUISUZAWA,栗原市鶯沢,栗原市鶯沢袋宮林,-,38,48.3,140,56.9,33,-,-,2001.9.27,-,-,-
347,宮城,34096,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,川渡,カワタビ,KAWATABI,大崎市川渡,大崎市鳴子温泉字蓬田,-,38,44.6,140,45.6,170,10,2,1976.12.4,-,34900,湿度を除く
348,宮城,34111,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,築館,ツキダテ,TSUKIDATE,栗原市築館,栗原市築館左足下,-,38,44.1,141,0.3,25,6.6,2.3,#1976.2.23,-,-,-
349,宮城,34171,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,米山,ヨネヤマ,YONEYAMA,登米市米山,登米市米山町西野字的場,-,38,37.6,141,11.3,5,6.5,2,(1975.5.21)1976.11.30,-,-,湿度を除く
350,宮城,34186,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,志津川,シヅガワ,SHIZUGAWA,南三陸町志津川,本吉郡南三陸町志津川字城場,-,38,40.9,141,26.9,39,10,2,#1976.12.1,-,-,湿度を除く
351,宮城,34206,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,加美,カミ,KAMI,加美,加美郡加美町味ヶ袋薬莱原,-,38,34.3,140,43.6,195,-,-,2005.10.21,-,-,-
352,宮城,34216,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,古川,フルカワ,FURUKAWA,大崎市古川,大崎市古川大崎字富国,-,38,35.9,140,54.7,28,6.6,1.8,#1976.12.3,-,34910,-
353,宮城,34241,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,雄勝,オガツ,OGATSU,石巻市雄勝,石巻市雄勝町雄勝字下雄勝,-,38,31.2,141,27.9,24,-,-,1975.5.13,-,-,-
354,宮城,34262,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,泉ケ岳,イズミガダケ,IZUMIGADAKE,仙台市泉ケ岳,仙台市泉区福岡岳山,-,38,24.4,140,43.3,630,-,-,2005.10.26,-,-,-
355,宮城,34266,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,大衡,オオヒラ,OHIRA,大衡,黒川郡大衡村松の平,-,38,28.4,140,53.3,57,10,1.5,#1976.12.3,-,-,湿度を除く
356,宮城,34276,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,鹿島台,カシマダイ,KASHIMADAI,大崎市鹿島台,大崎市鹿島台広長字内の浦,-,38,27.6,141,5.5,3,10,2,#1976.12.1,-,-,湿度を除く
357,宮城,34292,47592,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,石巻,イシノマキ,ISHINOMAKI,石巻,石巻市泉町,石巻特別地域気象観測所,38,25.6,141,17.9,43,28.6,-,1990.1.25,-,34913,-
358,宮城,34296,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,女川,オナガワ,ONAGAWA,女川,牡鹿郡女川町宮ケ崎字宮ケ崎,-,38,26.8,141,27,38,10,1.5,19903.5.13,-,-,湿度を除く
359,宮城,34311,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,新川,ニッカワ,NIKKAWA,仙台市新川,仙台市青葉区新川字清水尻,-,38,18.2,140,38.2,265,10.1,2,#1976.11.30,-,34915,-
360,宮城,34331,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,塩釜,シオガマ,SHIOGAMA,塩釜,塩竈市伊保石,-,38,20.3,141,0.8,105,10,1.5,(1975.5.21)1976.11.30,-,-,湿度を除く
361,宮城,34392,47590,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,仙台,センダイ,SENDAI,仙台,仙台市宮城野区五輪,仙台管区気象台,38,15.7,140,53.8,39,52.6,-,#1982.3.1,-,34917,-
362,宮城,34436,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,Y,名取,ナトリ,NATORI,名取,名取市下増田字南原,仙台航空測候所,38,8.3,140,55,2,9.9,-,2003.1.1,-,34965,日照・湿度・気圧を除く
363,宮城,34461,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,白石,シロイシ,SHIROISHI,白石,白石市福岡長袋字湯殿山,-,38,0.9,140,36.7,86,10.1,1.7,#1976.11.25,-,34920,-
364,宮城,34462,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,蔵王,ザオウ,ZAO,蔵王,刈田郡蔵王町大字平沢字内屋敷,-,38,7.6,140,40.8,112,6.6,1.5,2005.10.27,-,-,-
365,宮城,34471,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,亘理,ワタリ,WATARI,亘理,亘理郡亘理町字油田,-,38,1.5,140,51.5,4,10,1.5,#1976.11.29,-,-,湿度を除く
366,宮城,34506,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,丸森,マルモリ,MARUMORI,丸森,伊具郡丸森町舘矢間舘山字新賢中,-,37,55.9,140,46.7,18,10,1.5,1977.11.4,-,-,湿度を除く
367,宮城,34526,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,筆甫,ヒッポ,HIPPO,丸森町筆甫,伊具郡丸森町筆甫字和田,-,37,49.6,140,43.7,305,-,-,1978.11.10,-,-,-
368,山形,35002,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,飛島,トビシマ,TOBISHIMA,酒田市飛島,酒田市飛島字勝浦乙,-,39,11,139,32.6,58,20.4,1.6,1987.11.10,-,-,-
369,山形,35052,47587,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,酒田,サカタ,SAKATA,酒田,酒田市亀ケ崎,酒田特別地域気象観測所,38,54.5,139,50.6,3,26.6,-,#1984.2.9,-,35955,-
370,山形,35056,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,酒田大沢,サカタオオサワ,SAKATAOSAWA,酒田大沢,酒田市大蕨字二タ子,-,38,57.9,139,59.9,65,-,-,19909.12.20,-,-,-
371,山形,35071,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,N,差首鍋,サスナベ,SASUNABE,真室川町差首鍋,最上郡真室川町差首鍋,-,38,55.1,140,12,88,9,3.5,#1976.11.30,-,-,湿度を除く
372,山形,35086,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,N,浜中,ハマナカ,HAMANAKA,酒田市浜中,酒田市浜中字村東,庄内航空気象観測所,38,48.7,139,47.2,22,10,-,2003.1.1,-,-,日照・湿度・気圧を除く
373,山形,35116,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,金山,カネヤマ,KANEYAMA,金山,最上郡金山町金山字本町,-,38,52.7,140,19.9,170,10,1.5,#1976.11.29,-,35900,湿度を除く
374,山形,35141,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,鶴岡,ツルオカ,TSURUOKA,鶴岡,鶴岡市錦町,-,38,44.1,139,49.7,16,10.1,2.5,#1976.12.2,-,-,-
375,山形,35146,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,狩川,カリカワ,KARIKAWA,庄内町狩川,東田川郡庄内町狩川字矢倉,-,38,48,139,58.4,17,10,3,#1976.12.2,-,35905,湿度を除く
376,山形,35162,47520,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,新庄,シンジョウ,SHINJO,新庄,新庄市東谷地田町,新庄特別地域気象観測所,38,45.4,140,18.7,105,31.6,-,#1985.11.1,-,35907,-
377,山形,35171,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,瀬見,セミ,SEMI,最上町瀬見,最上郡最上町大堀,-,38,45.3,140,24.8,150,-,-,#,-,-,-
378,山形,35176,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,向町,ムカイマチ,MUKAIMACHI,最上町向町,最上郡最上町向町,-,38,45.5,140,31,212,10,3.5,(1974.12.18)1976.11.26,-,35950,湿度を除く
379,山形,35201,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,Y,櫛引,クシビキ,KUSHIBIKI,櫛引,鶴岡市桂荒俣字上桂,-,38,40.3,139,50.9,33,-,-,#,-,35910,-
380,山形,35216,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,肘折,ヒジオリ,HIJIORI,大蔵村肘折,最上郡大蔵村南山,-,38,36.4,140,9.8,330,8.5,1.5,1976.11.27,-,35920,湿度を除く
381,山形,35231,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,尾花沢,オバナザワ,OBANAZAWA,尾花沢,尾花沢市新町,-,38,36.5,140,24.7,106,8.9,3.2,(1975.5.23)1976.3.8,-,35915,-
382,山形,35246,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,鼠ケ関,ネズガセキ,NEZUGASEKI,鶴岡市鼠ケ関,鶴岡市鼠ケ関字横路,-,38,34,139,33.1,18,10.2,2,(1975.5.23)1976.12.3,-,-,-
383,山形,35256,-,雨,有線ロボット雨量計,Y,N,N,N,N,N,N,荒沢,アラサワ,ARASAWA,鶴岡市荒沢,鶴岡市荒沢字狩籠,-,38,30.5,139,46.9,272,-,-,1979.4.11,-,-,-
384,山形,35332,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,村山,ムラヤマ,MURAYAMA,村山,村山市大字大久保字寄込,-,38,27.6,140,20.9,80,6.7,2,2002.6.4,-,-,-
385,山形,35334,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,N,東根,ヒガシネ,HIGASHINE,東根,東根市大字羽入字柏原新林,山形航空気象観測所,38,24.7,140,22.2,105,10,-,2003.1.1,-,-,日照・湿度・気圧を除く
386,山形,35361,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,大井沢,オオイサワ,OISAWA,西川町大井沢,西村山郡西川町大井沢字中村,-,38,23.4,139,59.6,440,10,1.5,1978.12.20,-,35925,湿度を除く
387,山形,35376,-,四,有線ロボット気象計,Y,Y,Y,Y,N,ES,Y,左沢,アテラザワ,ATERAZAWA,大江町左沢,西村山郡大江町本郷字下夕原己,-,38,22.2,140,11.5,133,6.5,2,#1976.12.3,-,35945,湿度を除く
388,山形,35426,47588,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,山形,ヤマガタ,YAMAGATA,山形,山形市緑町,山形地方気象台,38,15.3,140,20.7,153,14.9,-,#1975.3.17,-,35927,-
