観測所番号,観測所名（漢字）,観測所名（カナ）,観測所名（ローマ字）,積雪の観測所名（漢字）,積雪の観測所名（カナ）,積雪の観測所名（ローマ字）,観測地点を代表する緯度,観測地点を代表する経度,観測地点を代表する標高,風向風速計の高さ,予備,予備,積雪の観測地点の緯度,積雪の観測地点の経度,積雪の観測地点の標高,降水量の統計の有無,風の統計の有無,気温の統計の有無,日照時間の統計の有無,積雪の統計の有無,予備,湿度の統計の有無,観測開始年月日,観測終了年月日,旧観測所番号,降水量の統計接続,風の統計接続,気温の統計接続,日照時間の統計接続,積雪の深さの統計接続,予備,湿度の統計接続
22327,浦河,ウラカワ,URAKAWA,浦河,ウラカワ,URAKAWA,42.162,142.777,33,14.5,,,42.162,142.777,33,1,1,1,1,1,,0,2008/3/26,2009/9/15,22327,0,4,4,0,0,,0
22327,浦河,ウラカワ,URAKAWA,浦河,ウラカワ,URAKAWA,42.162,142.777,37,17.9,,,42.162,142.777,37,1,1,1,1,1,,0,2009/9/16,2011/6/15,22327,0,0,0,0,0,,0
22327,浦河,ウラカワ,URAKAWA,浦河,ウラカワ,URAKAWA,42.162,142.777,37,18.1,,,42.162,142.777,37,1,1,1,1,1,,0,2011/6/16,2021/3/1,22327,0,0,0,0,0,,0
22327,浦河,ウラカワ,URAKAWA,浦河,ウラカワ,URAKAWA,42.162,142.777,37,18.1,,,42.162,142.777,37,1,1,1,1,1,,1,2021/3/2,9999-99-99,22327,0,0,0,0,0,,0
22356,目黒,メグロ,MEGURO,,,,42.127,143.313,17,,,,,,,1,0,0,0,0,,0,1978/8/30,1984/9/29,22356,1,1,1,1,1,,1
22356,目黒,メグロ,MEGURO,目黒,メグロ,MEGURO,42.127,143.313,17,,,,42.127,143.313,17,1,0,0,0,1,,0,1984/9/30,2020/11/9,22356,0,0,0,0,0,,0
22356,目黒,メグロ,MEGURO,目黒,メグロ,MEGURO,42.128,143.312,7,,,,42.128,143.312,7,1,0,0,0,1,,0,2020/11/10,9999-99-99,22356,0,0,0,0,0,,0
22366,幌満,ホロマン,HOROMAN,,,,42.082,143.038,20,,,,,,,1,0,0,0,0,,0,1978/7/14,2008/11/19,22366,1,1,1,1,1,,1
22366,幌満,ホロマン,HOROMAN,,,,42.077,143.035,0,,,,,,,1,0,0,0,0,,0,2008/11/20,9999-99-99,22366,0,0,0,0,0,,0
22391,えりも岬,エリモミサキ,ERIMOMISAKI,,,,41.925,143.243,63,8,,,,,,1,1,1,1,0,,0,1978/12/27,1988/4/27,22391,1,1,1,1,1,,1
22391,えりも岬,エリモミサキ,ERIMOMISAKI,,,,41.925,143.243,63,8,,,,,,1,1,1,1,0,,0,1988/4/28,2005/11/9,22391,0,0,0,1,0,,0
22391,えりも岬,エリモミサキ,ERIMOMISAKI,,,,41.925,143.243,63,8,,,,,,1,1,1,1,0,,0,2005/11/10,2008/9/24,22391,0,0,0,4,0,,0
22391,えりも岬,エリモミサキ,ERIMOMISAKI,,,,41.925,143.243,63,8,,,,,,1,1,1,1,0,,0,2008/9/25,2021/3/1,22391,0,4,4,0,0,,0
22391,えりも岬,エリモミサキ,ERIMOMISAKI,,,,41.925,143.243,63,8,,,,,,1,1,1,2,0,,0,2021/3/2,2021/3/22,22391,0,0,0,6,0,,0
22391,えりも岬,エリモミサキ,ERIMOMISAKI,,,,41.925,143.243,63,8.1,,,,,,1,1,1,2,0,,1,2021/3/23,9999-99-99,22391,0,0,0,0,0,,0
22905,,,,平取,ビラトリ,BIRATORI,,,,,,,42.607,142.147,44,0,0,0,0,1,,0,1988/10/12,2004/10/11,22905,1,1,1,1,1,,1
23031,長万部,オシャマンベ,OSHAMAMBE,,,,42.523,140.382,10,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/11,23031,1,1,1,1,1,,1
23031,長万部,オシャマンベ,OSHAMAMBE,,,,42.523,140.382,10,6.5,,,,,,1,1,1,1,0,,0,1977/10/12,1982/10/23,23031,0,0,0,0,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.523,140.382,10,6.5,,,42.523,140.382,10,1,1,1,1,1,,0,1982/10/24,1986/6/5,23031,0,0,0,0,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.523,140.382,10,6.5,,,42.523,140.382,10,1,1,1,1,1,,0,1986/6/6,2006/10/30,23031,0,0,0,1,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.523,140.382,10,6.5,,,42.523,140.382,10,1,1,1,1,1,,0,2006/10/31,2008/9/16,23031,0,0,0,4,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.523,140.382,10,6.5,,,42.523,140.382,10,1,1,1,1,1,,0,2008/9/17,2009/10/20,23031,0,4,4,0,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.523,140.382,10,10,,,42.523,140.382,10,1,1,1,1,1,,0,2009/10/21,2021/3/1,23031,0,0,0,0,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.523,140.382,10,10,,,42.523,140.382,10,1,1,1,2,1,,0,2021/3/2,2023/10/17,23031,0,0,0,6,0,,0
23031,長万部,オシャマンベ,OSHAMAMBE,長万部,オシャマンベ,OSHAMAMBE,42.517,140.373,6,10,,,42.517,140.373,6,1,1,1,2,1,,0,2023/10/18,9999-99-99,23031,0,0,0,0,0,,0
23086,八雲,ヤクモ,YAKUMO,,,,42.252,140.273,6,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/11,23086,1,1,1,1,1,,1
23086,八雲,ヤクモ,YAKUMO,,,,42.252,140.273,6,9.4,,,,,,1,1,1,1,0,,0,1977/10/12,1982/10/23,23086,0,0,0,0,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.273,6,9.4,,,42.252,140.273,6,1,1,1,1,1,,0,1982/10/24,1988/9/8,23086,0,0,0,0,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.273,6,9.4,,,42.252,140.273,6,1,1,1,1,1,,0,1988/9/9,2004/3/24,23086,0,0,0,1,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.272,8,9.4,,,42.252,140.272,8,1,1,1,1,1,,0,2004/3/25,2006/10/2,23086,0,0,0,0,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.272,8,9.4,,,42.252,140.272,8,1,1,1,1,1,,0,2006/10/3,2008/9/18,23086,0,0,0,4,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.272,8,9.4,,,42.252,140.272,8,1,1,1,1,1,,0,2008/9/19,2021/3/1,23086,0,4,4,0,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.272,8,9.4,,,42.252,140.272,8,1,1,1,2,1,,0,2021/3/2,2023/7/20,23086,0,0,0,6,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.272,8,10,,,42.252,140.272,8,1,1,1,2,1,,0,2023/7/21,2023/10/3,23086,0,0,0,0,0,,0
23086,八雲,ヤクモ,YAKUMO,八雲,ヤクモ,YAKUMO,42.252,140.272,8,9.9,,,42.252,140.272,8,1,1,1,2,1,,1,2023/10/4,9999-99-99,23086,0,0,0,0,0,,0
23126,森,モリ,MORI,,,,42.107,140.57,11,,,,,,,1,0,0,0,0,,0,1974/11/1,1975/12/9,23126,1,1,1,1,1,,1
23126,森,モリ,MORI,,,,42.107,140.57,11,10.4,,,,,,1,1,1,1,0,,0,1975/12/10,1985/12/24,23126,0,0,0,0,0,,0
23126,森,モリ,MORI,,,,42.107,140.57,11,10.4,,,,,,1,1,1,1,0,,0,1985/12/25,1988/9/12,23126,0,0,0,1,0,,0
23126,森,モリ,MORI,,,,42.105,140.568,18,16.8,,,,,,1,1,1,1,0,,0,1988/9/13,2002/3/1,23126,0,0,0,0,0,,0
23166,森,モリ,MORI,森,モリ,MORI,42.067,140.588,125,8,,,42.067,140.588,125,1,1,1,1,1,,0,2002/3/1,2009/9/24,23166,1,1,1,1,1,,1
23166,森,モリ,MORI,森,モリ,MORI,42.067,140.588,125,8,,,42.067,140.588,125,1,1,1,1,1,,0,2009/9/25,2021/3/1,23166,0,4,4,4,0,,0
23166,森,モリ,MORI,森,モリ,MORI,42.067,140.588,125,8,,,42.067,140.588,125,1,1,1,2,1,,0,2021/3/2,9999-99-99,23166,0,0,0,6,0,,0
23191,大沼,オオヌマ,ONUMA,,,,41.975,140.672,135,,,,,,,1,0,0,0,0,,0,1974/11/1,1982/9/29,23191,1,1,1,1,1,,1
23191,大沼,オオヌマ,ONUMA,,,,41.968,140.668,135,,,,,,,1,0,0,0,0,,0,1982/9/30,1982/10/23,23191,0,0,0,0,0,,0
23191,大沼,オオヌマ,ONUMA,大沼,オオヌマ,ONUMA,41.968,140.668,135,,,,41.968,140.668,135,1,0,0,0,1,,0,1982/10/24,1992/12/10,23191,0,0,0,0,0,,0
23191,大沼,オオヌマ,ONUMA,大沼,オオヌマ,ONUMA,41.977,140.715,165,,,,41.977,140.715,165,1,0,0,0,1,,0,1992/12/11,9999-99-99,23191,0,0,0,0,0,,0
23206,南茅部,ミナミカヤベ,MINAMIKAYABE,,,,41.903,140.967,19,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/12,23206,1,1,1,1,1,,1
23206,南茅部,ミナミカヤベ,MINAMIKAYABE,,,,41.905,140.97,25,6.5,,,,,,1,1,1,1,0,,0,1977/10/13,1987/9/30,23206,0,0,0,0,0,,0
23206,南茅部,ミナミカヤベ,MINAMIKAYABE,,,,41.905,140.97,25,6.5,,,,,,1,1,1,1,0,,0,1987/10/1,2004/12/5,23206,0,0,0,1,0,,0
23206,川汲,カックミ,KAKKUMI,,,,41.905,140.97,25,6.5,,,,,,1,1,1,1,0,,0,2004/12/6,2006/10/26,23206,0,0,0,0,0,,0
23206,川汲,カックミ,KAKKUMI,,,,41.905,140.97,25,6.5,,,,,,1,1,1,1,0,,0,2006/10/27,2008/9/11,23206,0,0,0,4,0,,0
23206,川汲,カックミ,KAKKUMI,,,,41.905,140.97,25,6.5,,,,,,1,1,1,1,0,,0,2008/9/12,2009/11/10,23206,0,4,4,0,0,,0
23206,川汲,カックミ,KAKKUMI,,,,41.905,140.97,25,10,,,,,,1,1,1,1,0,,0,2009/11/11,2021/3/1,23206,0,0,0,0,0,,0
23206,川汲,カックミ,KAKKUMI,,,,41.905,140.97,25,10,,,,,,1,1,1,2,0,,0,2021/3/2,2021/3/16,23206,0,0,0,6,0,,0
23206,川汲,カックミ,KAKKUMI,,,,41.905,140.97,25,10.1,,,,,,1,1,1,2,0,,1,2021/3/17,9999-99-99,23206,0,0,0,0,0,,0
23226,大野,オオノ,ONO,,,,41.887,140.653,25,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/12,23226,1,1,1,1,1,,1
23226,大野,オオノ,ONO,,,,41.887,140.653,25,6.4,,,,,,1,1,1,1,0,,0,1977/10/13,1990/6/19,23226,0,0,0,0,0,,0
23226,大野,オオノ,ONO,,,,41.887,140.653,25,6.4,,,,,,1,1,1,1,0,,0,1990/6/20,2006/1/31,23226,0,0,0,1,0,,0
23226,北斗,ホクト,HOKUTO,,,,41.887,140.653,25,6.4,,,,,,1,1,1,1,0,,0,2006/2/1,2008/12/16,23226,0,0,0,0,0,,0
23226,北斗,ホクト,HOKUTO,,,,41.887,140.653,25,6.4,,,,,,1,1,1,1,0,,0,2008/12/17,2009/10/22,23226,0,4,4,4,0,,0
23226,北斗,ホクト,HOKUTO,,,,41.887,140.653,25,10,,,,,,1,1,1,1,0,,0,2009/10/23,2021/3/1,23226,0,0,0,0,0,,0
23226,北斗,ホクト,HOKUTO,,,,41.887,140.653,25,10,,,,,,1,1,1,2,0,,0,2021/3/2,9999-99-99,23226,0,0,0,6,0,,0
23231,函館,ハコダテ,HAKODATE,,,,41.817,140.75,33,,,,,,,1,0,0,0,0,,0,1974/11/1,1975/3/19,23231,1,1,1,1,1,,1
23231,函館,ハコダテ,HAKODATE,,,,41.817,140.75,33,16,,,,,,1,1,1,1,0,,0,1975/3/20,1985/12/31,23231,0,0,0,0,0,,0
23231,函館,ハコダテ,HAKODATE,,,,41.817,140.75,33,16,,,,,,1,1,1,1,0,,0,1986/1/1,1992/7/23,23231,0,0,0,1,0,,0
23232,函館,ハコダテ,HAKODATE,,,,41.817,140.753,35,25.6,,,,,,1,1,1,1,0,,0,1992/7/23,1999/2/28,23231,0,0,0,0,0,,0
23232,函館,ハコダテ,HAKODATE,函館,ハコダテ,HAKODATE,41.817,140.753,35,25.6,,,41.817,140.753,35,1,1,1,1,1,,0,1999/3/1,2008/3/25,23232,0,0,0,0,0,,0
23232,函館,ハコダテ,HAKODATE,函館,ハコダテ,HAKODATE,41.817,140.753,35,25.6,,,41.817,140.753,35,1,1,1,1,1,,0,2008/3/26,2011/7/6,23232,0,4,4,0,0,,0
23232,函館,ハコダテ,HAKODATE,函館,ハコダテ,HAKODATE,41.817,140.753,35,25.7,,,41.817,140.753,35,1,1,1,1,1,,0,2011/7/7,2021/3/1,23232,0,0,0,0,0,,0
23232,函館,ハコダテ,HAKODATE,函館,ハコダテ,HAKODATE,41.817,140.753,35,25.7,,,41.817,140.753,35,1,1,1,1,1,,1,2021/3/2,2021/3/16,23232,0,0,0,0,0,,0
23232,函館,ハコダテ,HAKODATE,函館,ハコダテ,HAKODATE,41.817,140.753,35,25.9,,,41.817,140.753,35,1,1,1,1,1,,1,2021/3/17,9999-99-99,23232,0,0,0,0,0,,0
23281,高松,タカマツ,TAKAMATSU,,,,41.77,140.822,34,9.9,,,,,,1,1,1,0,0,,0,2003/1/1,2006/11/28,23281,1,1,1,1,1,,1
23281,高松,タカマツ,TAKAMATSU,高松,タカマツ,TAKAMATSU,41.77,140.822,34,9.9,,,41.77,140.822,34,1,1,1,0,1,,0,2006/11/29,2009/1/29,23281,0,0,0,0,0,,0
23281,高松,タカマツ,TAKAMATSU,高松,タカマツ,TAKAMATSU,41.77,140.822,34,9.9,,,41.77,140.822,34,1,1,1,0,1,,0,2009/1/30,2017/3/7,23281,0,4,4,0,0,,0
23281,高松,タカマツ,TAKAMATSU,高松,タカマツ,TAKAMATSU,41.77,140.822,34,10,,,41.77,140.822,34,1,1,1,0,1,,0,2017/3/8,9999-99-99,23281,0,0,0,0,0,,0
23286,汐首,シオクビ,SHIOKUBI,,,,41.718,140.945,26,,,,,,,1,0,0,0,0,,0,1974/11/1,1984/10/18,23286,1,1,1,1,1,,1
23287,蛾眉野,ガビノ,GABINO,,,,41.798,140.95,68,,,,,,,1,0,0,0,0,,0,1984/9/28,2003/3/19,23287,1,1,1,1,1,,1
23291,戸井,トイ,TOI,,,,41.717,141.003,20,,,,,,,1,0,0,0,0,,0,2003/3/20,2004/12/5,23291,1,1,1,1,1,,1
23291,戸井泊,トイトマリ,TOITOMARI,,,,41.717,141.003,20,,,,,,,1,0,0,0,0,,0,2004/12/6,9999-99-99,23291,0,0,0,0,0,,0
23321,知内,シリウチ,SHIRIUCHI,,,,41.598,140.375,24,,,,,,,1,0,0,0,0,,0,2004/10/1,9999-99-99,23321,1,1,1,1,1,,1
23326,木古内,キコナイ,KIKONAI,,,,41.687,140.445,6,,,,,,,1,0,0,0,0,,0,1975/4/18,1977/10/13,23326,1,1,1,1,1,,1
23326,木古内,キコナイ,KIKONAI,,,,41.687,140.445,6,9.4,,,,,,1,1,1,1,0,,0,1977/10/14,1987/1/11,23326,0,0,0,0,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.687,140.445,6,9.4,,,,,,1,1,1,1,0,,0,1987/1/12,2006/10/16,23326,0,0,0,1,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.687,140.445,6,9.4,,,,,,1,1,1,1,0,,0,2006/10/17,2008/9/26,23326,0,0,0,4,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.687,140.445,6,9.4,,,,,,1,1,1,1,0,,0,2008/9/27,2009/11/4,23326,0,4,4,0,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.687,140.445,6,10,,,,,,1,1,1,1,0,,0,2009/11/5,2019/10/22,23326,0,0,0,0,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.68,140.437,10,10,,,,,,1,1,1,1,0,,0,2019/10/23,2021/3/1,23326,0,0,0,0,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.68,140.437,10,10,,,,,,1,1,1,2,0,,0,2021/3/2,2021/10/18,23326,0,0,0,6,0,,0
23326,木古内,キコナイ,KIKONAI,,,,41.68,140.437,10,9.9,,,,,,1,1,1,2,0,,1,2021/10/19,9999-99-99,23326,0,0,0,0,0,,0
23356,千軒,センゲン,SENGEN,,,,41.558,140.272,100,,,,,,,1,0,0,0,0,,0,1978/7/19,1982/10/23,23356,1,1,1,1,1,,1
23356,千軒,センゲン,SENGEN,千軒,センゲン,SENGEN,41.558,140.272,100,,,,41.558,140.272,100,1,0,0,0,1,,0,1982/10/24,9999-99-99,23356,0,0,0,0,0,,0
23366,小谷石,コタニイシ,KOTANIISHI,,,,41.543,140.43,125,,,,,,,1,0,0,0,0,,0,1974/11/1,2004/9/21,23366,1,1,1,1,1,,1
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,9.4,,,,,,1,1,1,1,0,,0,1977/10/14,1986/5/15,23376,1,1,1,1,1,,1
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,9.4,,,,,,1,1,1,1,0,,0,1986/5/16,2006/10/23,23376,0,0,0,1,0,,0
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,9.4,,,,,,1,1,1,1,0,,0,2006/10/24,2008/9/24,23376,0,0,0,4,0,,0
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,9.4,,,,,,1,1,1,1,0,,0,2008/9/25,2009/10/28,23376,0,4,4,0,0,,0
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,10,,,,,,1,1,1,1,0,,0,2009/10/29,2021/3/1,23376,0,0,0,0,0,,0
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,10,,,,,,1,1,1,2,0,,0,2021/3/2,2021/3/17,23376,0,0,0,6,0,,0
23376,松前,マツマエ,MATSUMAE,,,,41.423,140.087,30,10.1,,,,,,1,1,1,2,0,,1,2021/3/18,9999-99-99,23376,0,0,0,0,0,,0
23381,松前,マツマエ,MATSUMAE,,,,41.428,140.11,22,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/14,23381,1,1,1,1,1,,1
24041,瀬棚,セタナ,SETANA,,,,42.45,139.852,10,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/18,24041,1,1,1,1,1,,1
24041,瀬棚,セタナ,SETANA,,,,42.45,139.852,10,6.5,,,,,,1,1,1,1,0,,0,1977/10/19,1990/6/12,24041,0,0,0,0,0,,0
24041,瀬棚,セタナ,SETANA,,,,42.45,139.852,10,6.5,,,,,,1,1,1,1,0,,0,1990/6/13,2005/10/2,24041,0,0,0,1,0,,0
24041,せたな,セタナ,SETANA,,,,42.45,139.852,10,6.5,,,,,,1,1,1,1,0,,0,2005/10/3,2008/12/18,24041,0,0,0,0,0,,0
24041,せたな,セタナ,SETANA,,,,42.45,139.852,10,6.5,,,,,,1,1,1,1,0,,0,2008/12/19,2009/11/12,24041,0,4,4,4,0,,0
24041,せたな,セタナ,SETANA,,,,42.45,139.852,10,10,,,,,,1,1,1,1,0,,0,2009/11/13,2021/3/1,24041,0,0,0,0,0,,0
24041,せたな,セタナ,SETANA,,,,42.45,139.852,10,10,,,,,,1,1,1,2,0,,0,2021/3/2,9999-99-99,24041,0,0,0,6,0,,0
24051,今金,イマカネ,IMAKANE,,,,42.428,140.008,19,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/18,24051,1,1,1,1,1,,1
24051,今金,イマカネ,IMAKANE,,,,42.428,140.008,19,7.9,,,,,,1,1,1,1,0,,0,1977/10/19,1982/10/23,24051,0,0,0,0,0,,0
24051,今金,イマカネ,IMAKANE,今金,イマカネ,IMAKANE,42.428,140.008,19,7.9,,,42.428,140.008,19,1,1,1,1,1,,0,1982/10/24,1989/8/7,24051,0,0,0,0,0,,0
24051,今金,イマカネ,IMAKANE,今金,イマカネ,IMAKANE,42.428,140.008,19,7.9,,,42.428,140.008,19,1,1,1,1,1,,0,1989/8/8,2007/12/20,24051,0,0,0,1,0,,0
24051,今金,イマカネ,IMAKANE,今金,イマカネ,IMAKANE,42.428,140.008,19,7.9,,,42.428,140.008,19,1,1,1,1,1,,0,2007/12/21,2008/3/25,24051,0,0,0,4,0,,0
24051,今金,イマカネ,IMAKANE,今金,イマカネ,IMAKANE,42.428,140.008,19,7.9,,,42.428,140.008,19,1,1,1,1,1,,0,2008/3/26,2009/11/11,24051,0,4,4,0,0,,0
24051,今金,イマカネ,IMAKANE,今金,イマカネ,IMAKANE,42.428,140.008,19,10,,,42.428,140.008,19,1,1,1,1,1,,0,2009/11/12,2021/3/1,24051,0,0,0,0,0,,0
24051,今金,イマカネ,IMAKANE,今金,イマカネ,IMAKANE,42.428,140.008,19,10,,,42.428,140.008,19,1,1,1,2,1,,0,2021/3/2,9999-99-99,24051,0,0,0,6,0,,0
24101,奥尻,オクシリ,OKUSHIRI,,,,42.248,139.557,5,6.5,,,,,,1,1,1,1,0,,0,2000/1/28,2006/10/19,24101,1,1,1,1,1,,1
24101,奥尻,オクシリ,OKUSHIRI,,,,42.248,139.557,5,6.5,,,,,,1,1,1,1,0,,0,2006/10/20,2008/9/29,24101,0,0,0,4,0,,0
24101,奥尻,オクシリ,OKUSHIRI,,,,42.248,139.557,5,6.5,,,,,,1,1,1,1,0,,0,2008/9/30,2021/3/1,24101,0,4,4,0,0,,0
24101,奥尻,オクシリ,OKUSHIRI,,,,42.248,139.557,5,6.5,,,,,,1,1,1,2,0,,0,2021/3/2,2021/7/12,24101,0,0,0,6,0,,0
24101,奥尻,オクシリ,OKUSHIRI,,,,42.248,139.557,5,10,,,,,,1,1,1,2,0,,0,2021/7/13,2021/11/16,24101,0,0,0,0,0,,0
24101,奥尻,オクシリ,OKUSHIRI,,,,42.248,139.557,5,9.9,,,,,,1,1,1,2,0,,1,2021/11/17,9999-99-99,24101,0,0,0,0,0,,0
24131,奥尻,オクシリ,OKUSHIRI,,,,42.17,139.51,9,8,,,,,,1,1,1,1,0,,0,1977/10/17,1986/5/20,24131,1,1,1,1,1,,1
24131,奥尻,オクシリ,OKUSHIRI,,,,42.17,139.51,9,8,,,,,,1,1,1,1,0,,0,1986/5/21,2000/1/24,24131,0,0,0,1,0,,0
24141,熊石,クマイシ,KUMAISHI,,,,42.13,139.98,38,,,,,,,1,0,0,0,0,,0,1974/11/1,1977/10/17,24141,1,1,1,1,1,,1
24141,熊石,クマイシ,KUMAISHI,,,,42.13,139.98,38,8,,,,,,1,1,1,1,0,,0,1977/10/18,1982/9/15,24141,0,0,0,0,0,,0
24141,熊石,クマイシ,KUMAISHI,,,,42.13,139.978,34,8,,,,,,1,1,1,1,0,,0,1982/9/16,1982/10/23,24141,0,0,0,0,0,,0
24141,熊石,クマイシ,KUMAISHI,熊石,クマイシ,KUMAISHI,42.13,139.978,34,8,,,42.13,139.978,34,1,1,1,1,1,,0,1982/10/24,1986/11/26,24141,0,0,0,0,0,,0
24141,熊石,クマイシ,KUMAISHI,熊石,クマイシ,KUMAISHI,42.13,139.978,34,8,,,42.13,139.978,34,1,1,1,1,1,,0,1986/11/27,2009/9/28,24141,0,0,0,1,0,,0
24141,熊石,クマイシ,KUMAISHI,熊石,クマイシ,KUMAISHI,42.128,139.985,12,10,,,42.128,139.985,12,1,1,1,1,1,,0,2009/9/29,2021/3/1,24141,0,4,4,4,0,,0
24141,熊石,クマイシ,KUMAISHI,熊石,クマイシ,KUMAISHI,42.128,139.985,12,10,,,42.128,139.985,12,1,1,1,2,1,,0,2021/3/2,9999-99-99,24141,0,0,0,6,0,,0
24156,米岡,ヨネオカ,YONEOKA,,,,42.067,139.438,36,6.8,,,,,,1,1,1,0,0,,0,2003/1/1,2004/3/17,24156,1,1,1,1,1,,1
24156,米岡,ヨネオカ,YONEOKA,,,,42.072,139.428,52,10.4,,,,,,1,1,1,0,0,,0,2004/3/18,2006/3/24,24156,0,0,0,0,0,,0
24156,米岡,ヨネオカ,YONEOKA,,,,42.072,139.432,49,10.4,,,,,,1,1,1,0,0,,0,2006/3/25,2009/1/29,24156,0,0,0,0,0,,0
24156,米岡,ヨネオカ,YONEOKA,,,,42.072,139.432,49,10.4,,,,,,1,1,1,0,0,,0,2009/1/30,2020/11/4,24156,0,4,4,0,0,,0
24156,米岡,ヨネオカ,YONEOKA,,,,42.072,139.432,49,10,,,,,,1,1,1,0,0,,0,2020/11/5,9999-99-99,24156,0,0,0,0,0,,0
24166,潮見,シオミ,SHIOMI,,,,42.037,140.09,40,,,,,,,1,0,0,0,0,,0,1974/11/1,1982/6/21,24166,1,1,1,1,1,,1
24166,潮見,シオミ,SHIOMI,,,,42.038,140.088,50,,,,,,,1,0,0,0,0,,0,1982/6/22,9999-99-99,24166,0,0,0,0,0,,0
24201,鶉,ウズラ,UZURA,,,,41.935,140.318,61,6.5,,,,,,1,1,1,1,0,,0,1977/10/18,1982/10/23,24201,1,1,1,1,1,,1
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.935,140.318,61,6.5,,,41.93,140.312,53,1,1,1,1,1,,0,1982/10/24,1990/5/14,24201,0,0,0,0,0,,0
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.935,140.318,61,6.5,,,41.93,140.312,53,1,1,1,1,1,,0,1990/5/15,1992/10/20,24201,0,0,0,1,0,,0
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.93,140.312,53,9.4,,,41.93,140.312,53,1,1,1,1,1,,0,1992/10/21,2007/12/25,24201,0,0,0,0,0,,0
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.93,140.312,53,9.4,,,41.93,140.312,53,1,1,1,1,1,,0,2007/12/26,2008/3/25,24201,0,0,0,4,0,,0
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.93,140.312,53,9.4,,,41.93,140.312,53,1,1,1,1,1,,0,2008/3/26,2009/9/17,24201,0,4,4,0,0,,0
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.93,140.312,53,10,,,41.93,140.312,53,1,1,1,1,1,,0,2009/9/18,2021/3/1,24201,0,0,0,0,0,,0
24201,鶉,ウズラ,UZURA,鶉,ウズラ,UZURA,41.93,140.312,53,10,,,41.93,140.312,53,1,1,1,2,1,,0,2021/3/2,9999-99-99,24201,0,0,0,6,0,,0
24216,江差,エサシ,ESASHI,,,,41.862,140.122,30,,,,,,,1,0,0,0,0,,0,1974/11/1,1975/3/6,24216,1,1,1,1,1,,1
24216,江差,エサシ,ESASHI,,,,41.862,140.122,30,13.3,,,,,,1,1,1,1,0,,0,1975/3/7,1979/9/1,24216,0,0,0,0,0,,0
24217,江差,エサシ,ESASHI,,,,41.867,140.123,4,19.4,,,,,,1,1,1,1,0,,0,1979/9/1,1986/12/31,24216,0,0,0,0,0,,0
24217,江差,エサシ,ESASHI,,,,41.867,140.123,4,19.4,,,,,,1,1,1,1,0,,0,1987/1/1,1999/2/28,24217,0,0,0,1,0,,0
