地点番号 観測点の種類（※1） 観測要素_気温 観測要素_降水量 観測要素_風向 観測要素_風速 観測要素_日照時間(※2) 観測要素_積雪深 観測要素_湿度 観測要素_気圧 緯度（[度, 分]） 経度（[度, 分]） 標高（m） 観測所名_漢字 観測所名_カタカタ 観測所名_アルファベット
	※1：Aは管区気象台・地方気象台・沖縄気象台、Bは測候所・特別地域気象観測所（元測候所）、Cは通常のアメダス、Dは父島気象観測所、Eは南鳥島気象観測所、Fは富士山特別気象観測所
	※2：Yevは、観測ではなく推計気象分布に基づく推定値で、2021年3月2日から気象官署・特別地域気象観測所を除く地域気象観測所において提供
11001, C, Y, Y, Y, Y, Yev, N, Y, N, [45,31.2], [141,56.1], 26, 宗谷岬, ソウヤミサキ, Cape Soya
23281, C, Y, Y, Y, Y, N, Y, N, N, [41,46.2], [140,49.3], 34, 高松, タカマツ：函館空港, Takamatsu
23291, C, N, Y, N, N, N, N, N, N, [41,43.0], [141,0.2], 20, 戸井泊, トイトマリ, Toitomari
23321, C, N, Y, N, N, N, N, N, N, [41,35.9], [140,22.5], 24, 知内, シリウチ, Shiriuchi
23326, C, Y, Y, Y, Y, Yev, N, Y, N, [41,40.8], [140,26.2], 10, 木古内, キコナイ, Kikonai
23356, C, N, Y, N, N, N, Y, N, N, [41,33.5], [140,16.3], 100, 千軒, センゲン, Sengen
23376, C, Y, Y, Y, Y, Yev, N, Y, N, [41,25.4], [140,5.2], 30, 松前, マツマエ, Matsumae
24041, C, Y, Y, Y, Y, Yev, N, N, N, [42,27.0], [139,51.1], 10, せたな, セタナ, Setana
24051, C, Y, Y, Y, Y, Yev, Y, N, N, [42,25.7], [140,0.5], 19, 今金, イマカネ, Imakane
24101, C, Y, Y, Y, Y, Yev, N, Y, N, [42,14.9], [139,33.4], 5, 奥尻, オクシリ, Okushiri
24141, C, Y, Y, Y, Y, Yev, Y, N, N, [42,7.7], [139,59.1], 12, 熊石, クマイシ, Kumaishi
24156, C, Y, Y, Y, Y, N, N, N, N, [42,4.3], [139,25.9], 49, 米岡, ヨネオカ：奥尻空港, Yoneoka
24166, C, N, Y, N, N, N, N, N, N, [42,2.3], [140,5.3], 50, 潮見, シオミ, Shiomi
24201, C, Y, Y, Y, Y, Yev, Y, N, N, [41,55.8], [140,18.7], 53, 鶉, ウズラ, Uzura
24217, B, Y, Y, Y, Y, Y, Y, Y, Y, [41,52.0], [140,7.4], 4, 江差, エサシ, Esashi
24236, C, N, Y, N, N, N, N, N, N, [41,42.0], [140,1.7], 5, 石崎, イシザキ, Ishizaki
31001, C, Y, Y, Y, Y, Yev, Y, N, N, [41,31.6], [140,54.7], 14, 大間, オオマ, Oma
31036, C, N, Y, N, N, N, N, N, N, [41,18.8], [140,57.4], 162, 湯野川, ユノカワ, Yunokawa
31111, B, Y, Y, Y, Y, Y, Y, Y, Y, [41,17.0], [141,12.6], 3, むつ, ムツ, Mutsu
31121, C, Y, Y, Y, Y, Yev, N, N, N, [41,14.1], [141,23.8], 6, 小田野沢, オダノサワ, Odanosawa
31136, C, Y, Y, Y, Y, Yev, Y, N, N, [41,10.8], [140,28.9], 30, 今別, イマベツ, Imabetsu
31156, C, Y, Y, Y, Y, Yev, Y, N, N, [41,8.7], [140,49.3], 15, 脇野沢, ワキノサワ, Wakinosawa
31186, C, Y, Y, Y, Y, Yev, N, Y, N, [41,3.4], [140,20.8], 20, 市浦, シウラ, Shiura
31201, C, Y, Y, Y, Y, Yev, N, N, N, [41,2.7], [140,38.0], 5, 蟹田, カニタ, Kanita
31296, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,48.5], [140,27.5], 9, 五所川原, ゴショガワラ, Goshogawara
31312, A, Y, Y, Y, Y, Y, Y, Y, Y, [40,49.3], [140,46.1], 3, 青森, アオモリ, Aomori
31321, C, N, Y, N, N, N, N, N, N, [40,50.9], [140,59.1], 137, 大和山, ヤマトヤマ, Mt.Yamato
31332, C, Y, Y, Y, Y, Yev, Y, N, N, [40,53.1], [141,9.6], 14, 野辺地, ノヘジ, Noheji
31336, C, Y, Y, Y, Y, Yev, N, N, N, [40,53.1], [141,16.3], 80, 六ケ所, ロッカショ, Rokkasho
31366, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,46.6], [140,12.3], 40, 鰺ケ沢, アジガサワ, Ajigasawa
31386, C, Y, Y, Y, Y, N, Y, N, N, [40,44.0], [140,41.3], 198, 青森大谷, アオモリオオタニ：青森空港, Aomori-Otani
31411, C, N, Y, N, N, N, N, N, N, [40,42.5], [141,7.7], 57, 七戸, シチノヘ, Shichinohe
31436, B, Y, Y, Y, Y, Y, Y, Y, Y, [40,38.7], [139,55.9], 66, 深浦, フカウラ, Fukaura
31451, C, N, Y, N, N, N, N, N, N, [40,37.7], [140,15.8], 438, 岳, ダケ, Dake
31461, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,36.7], [140,27.3], 30, 弘前, ヒロサキ, Hirosaki
31466, C, Y, Y, Y, Y, Yev, N, N, N, [40,40.0], [140,35.1], 30, 黒石, クロイシ, Kuroishi
31482, C, Y, Y, Y, Y, Yev, Y, N, N, [40,38.9], [140,50.9], 890, 酸ケ湯, スカユ, Sukayu
31506, C, Y, Y, Y, Y, Yev, N, N, N, [40,40.5], [141,22.5], 39, 三沢, ミサワ, Misawa
31551, C, N, Y, N, N, N, N, N, N, [40,31.8], [140,33.3], 63, 大鰐, オオワニ, Owani
31562, C, N, Y, N, N, N, N, N, N, [40,30.9], [140,47.0], 404, 温川, ヌルカワ, Nurukawa
31586, C, Y, Y, Y, Y, Yev, Y, N, N, [40,36.4], [141,14.0], 55, 十和田, トワダ, Towada
31602, B, Y, Y, Y, Y, Y, Y, Y, Y, [40,31.6], [141,31.3], 27, 八戸, ハチノヘ, Hachinohe
31646, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,28.9], [140,37.2], 135, 碇ケ関, イカリガセキ, Ikarigaseki
31662, C, Y, Y, Y, Y, Yev, N, N, N, [40,25.6], [140,53.9], 414, 休屋, ヤスミヤ, Yasumiya
31671, C, N, Y, N, N, N, N, N, N, [40,28.1], [141,10.6], 125, 戸来, ヘライ, Herai
31721, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,23.0], [141,15.4], 60, 三戸, サンノヘ, Sannohe
32056, C, Y, Y, Y, Y, Yev, N, Y, N, [40,24.8], [139,56.9], 34, 八森, ハチモリ, Hachimori
32071, C, N, Y, N, N, N, N, N, N, [40,19.2], [140,17.6], 68, 藤里, フジサト, Fujisato
32091, C, N, Y, N, N, N, N, N, N, [40,24.2], [140,36.5], 176, 陣場, ジンバ, Jinba
32096, C, N, Y, N, N, N, N, N, N, [40,21.2], [140,46.8], 280, 藤原, フジワラ, Fujiwara
32111, C, Y, Y, Y, Y, Yev, Y, N, N, [40,11.9], [140,1.9], 6, 能代, ノシロ, Noshiro
32126, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,13.6], [140,22.3], 29, 鷹巣, タカノス, Takanosu
32136, C, Y, Y, Y, Y, Yev, N, N, N, [40,15.1], [140,30.3], 49, 大館, オオダテ, Odate
32146, C, Y, Y, Y, Y, Yev, Y, N, N, [40,12.9], [140,47.2], 123, 鹿角, カヅノ, Kazuno
32181, C, Y, Y, Y, Y, N, N, N, N, [40,11.5], [140,22.3], 84, 脇神, ワキガミ：大館能代空港, Wakigami
32206, C, Y, Y, Y, Y, Yev, N, N, N, [40,7.2], [140,50.4], 214, 湯瀬, ユゼ, Yuze
32266, C, Y, Y, Y, Y, Yev, N, N, N, [40,0.8], [140,48.1], 578, 八幡平, ハチマンタイ, Hachimantai
32276, C, N, Y, N, N, N, N, N, N, [39,56.3], [139,46.9], 84, 男鹿真山, オガシンザン, Mt.Oga-Shinzan
32286, C, Y, Y, Y, Y, Yev, N, N, N, [39,54.7], [139,54.0], 20, 男鹿, オガ, Oga
32287, C, Y, Y, Y, Y, Yev, N, N, N, [40,0.0], [139,57.0], -3, 大潟, オオガタ, Ogata
32296, C, Y, Y, Y, Y, Yev, Y, N, N, [39,56.3], [140,6.9], 6, 五城目, ゴジョウメ, Gojome
32311, C, Y, Y, Y, Y, Yev, Y, N, N, [39,59.6], [140,24.2], 120, 阿仁合, アニアイ, Aniai
32312, C, N, Y, N, N, N, N, N, N, [39,54.2], [140,27.0], 210, 比立内, ヒタチナイ, Hitachinai
32376, C, N, Y, N, N, N, N, N, N, [39,48.7], [140,35.1], 255, 桧木内, ヒノキナイ, Hinokinai
32402, A, Y, Y, Y, Y, Y, Y, Y, Y, [39,43.0], [140,5.9], 6, 秋田, アキタ, Akita
32407, C, Y, Y, Y, Y, Yev, N, Y, N, [39,42.4], [140,17.2], 41, 岩見三内, イワミサンナイ, Iwami-Sannai
32408, C, N, Y, N, N, N, N, N, N, [39,48.0], [140,13.0], 179, 仁別, ニベツ, Nibetsu
32426, C, N, Y, N, N, N, N, N, N, [39,46.5], [140,39.9], 281, 鎧畑, ヨロイバタ, Yoroibata
32431, C, N, Y, N, N, N, N, N, N, [39,46.7], [140,45.7], 652, 田沢湖高原, タザワココウゲン, Tazawako Highlands
32451, C, Y, Y, Y, Y, N, Y, N, N, [39,36.9], [140,13.1], 93, 雄和, ユウワ：秋田空港, Yuwa
32466, C, Y, Y, Y, Y, Yev, Y, N, N, [39,36.2], [140,33.4], 56, 角館, カクノダテ, Kakunodate
32476, C, Y, Y, Y, Y, Yev, N, N, N, [39,41.9], [140,43.9], 230, 田沢湖, タザワコ, Lake Tazawa
32496, C, Y, Y, Y, Y, Yev, Y, N, N, [39,31.6], [140,14.0], 20, 大正寺, ダイショウジ, Daisho-ji
32551, C, Y, Y, Y, Y, Yev, N, N, N, [39,29.4], [140,29.7], 30, 大曲, オオマガリ, Omagari
32571, C, Y, Y, Y, Y, Yev, Y, N, N, [39,21.6], [140,3.3], 11, 本荘, ホンジョウ, Honjo
32581, C, Y, Y, Y, Y, Yev, N, N, N, [39,18.3], [140,17.3], 117, 東由利, ヒガシユリ, Higashiyuri
32596, C, Y, Y, Y, Y, Yev, Y, N, N, [39,19.2], [140,33.3], 59, 横手, ヨコテ, Yokote
32616, C, Y, Y, Y, Y, Yev, N, Y, N, [39,15.3], [139,54.8], 7, にかほ, ニカホ, Nikaho
32626, C, Y, Y, Y, Y, Yev, Y, N, N, [39,14.1], [140,8.2], 46, 矢島, ヤシマ, Yashima
32681, C, N, Y, N, N, N, N, N, N, [39,6.2], [140,17.6], 200, 笹子, ジネゴ, Jinego
32691, C, Y, Y, Y, Y, Yev, Y, N, N, [39,11.2], [140,27.8], 74, 湯沢, ユザワ, Yuzawa
32701, C, N, Y, N, N, N, N, N, N, [39,10.7], [140,38.9], 191, 東成瀬, ヒガシナルセ, Higashinaruse
32771, C, Y, Y, Y, Y, Yev, Y, N, N, [38,57.6], [140,31.7], 335, 湯の岱, ユノタイ, Yunotai
33006, C, Y, Y, Y, Y, Yev, N, N, N, [40,24.2], [141,42.0], 70, 種市, タネイチ, Taneichi
33026, C, Y, Y, Y, Y, Yev, N, N, N, [40,19.5], [141,28.0], 148, 軽米, カルマイ, Karumai
33071, C, Y, Y, Y, Y, Yev, Y, N, N, [40,17.9], [141,17.9], 87, 二戸, ニノヘ, Ninohe
33086, C, N, Y, N, N, N, N, N, N, [40,16.9], [141,40.0], 200, 大野, オオノ, Ohno
33136, C, Y, Y, Y, Y, Yev, N, N, N, [40,8.9], [141,34.3], 290, 山形, ヤマガタ, Yamagata
33146, C, Y, Y, Y, Y, Yev, Y, Y, N, [40,10.1], [141,44.9], 13, 久慈, クジ, Kuji
33166, C, Y, Y, Y, Y, Yev, N, Y, N, [40,6.2], [141,3.0], 290, 荒屋, アラヤ, Araya
33176, C, Y, Y, Y, Y, Yev, Y, N, N, [40,3.6], [141,13.5], 430, 奥中山, オクナカヤマ, Mt.Okunaka
33186, C, Y, Y, Y, Y, Yev, Y, N, N, [40,2.4], [141,27.4], 418, 葛巻, クズマキ, Kuzumaki
33201, C, N, Y, N, N, N, N, N, N, [40,5.0], [141,42.7], 239, 下戸鎖, シモトクサリ, Shimotokusari
33206, C, Y, Y, Y, Y, Yev, N, N, N, [40,0.2], [141,53.0], 8, 普代, フダイ, Fudai
33226, C, Y, Y, Y, Y, Yev, Y, N, N, [39,57.1], [141,3.9], 275, 岩手松尾, イワテマツオ, Iwate-Matsuo
33231, C, N, Y, N, N, N, N, N, N, [39,58.4], [141,10.0], 285, 一方井, イッカタイ, Ikkatai
33296, C, Y, Y, Y, Y, Yev, N, N, N, [39,52.1], [141,10.0], 205, 好摩, コウマ, Koma
33326, C, Y, Y, Y, Y, Yev, Y, Y, N, [39,50.8], [141,47.7], 105, 岩泉, イワイズミ, Iwaizumi
33336, C, Y, Y, Y, Y, Yev, N, N, N, [39,50.8], [141,57.8], 3, 小本, オモト, Omoto
33351, C, N, Y, N, N, N, N, N, N, [39,46.6], [140,56.7], 350, 葛根田, カッコンダ, Kakkonda
33361, C, N, Y, N, N, N, N, N, N, [39,46.8], [141,5.8], 210, 滝沢, タキザワ, Takizawa
33371, C, Y, Y, Y, Y, Yev, N, N, N, [39,47.0], [141,19.7], 680, 薮川, ヤブカワ, Yabukawa
33421, C, Y, Y, Y, Y, Yev, Y, N, N, [39,41.8], [140,58.5], 195, 雫石, シズクイシ, Shizukuishi
33431, A, Y, Y, Y, Y, Y, Y, Y, Y, [39,41.9], [141,9.9], 155, 盛岡, モリオカ, Morioka
33441, C, Y, Y, Y, Y, Yev, Y, N, N, [39,39.0], [141,21.2], 734, 区界, クザカイ, Kuzakai
33472, B, Y, Y, Y, Y, Y, Y, Y, Y, [39,38.8], [141,57.9], 43, 宮古, ミヤコ, Miyako
33486, C, Y, Y, Y, Y, Yev, N, N, N, [39,32.9], [140,50.6], 407, 沢内, サワウチ, Sawauchi
33501, C, Y, Y, Y, Y, Yev, N, N, N, [39,32.8], [141,7.6], 125, 紫波, シワ, Shiwa
33526, C, Y, Y, Y, Y, Yev, N, N, N, [39,35.9], [141,40.9], 192, 川井, カワイ, Kawai
33566, C, N, Y, N, N, N, N, N, N, [39,28.8], [140,58.1], 300, 豊沢, トヨサワ, Toyosawa
33576, C, Y, Y, Y, Y, N, N, N, N, [39,25.7], [141,8.1], 90, 花巻, ハナマキ：花巻空港, Hanamaki
33581, C, Y, Y, Y, Y, Yev, N, N, N, [39,28.2], [141,16.7], 150, 大迫, オオハサマ, Ohasama
33596, C, N, Y, N, N, N, N, N, N, [39,27.4], [141,30.4], 440, 附馬牛, ツキモウシ, Tsukimoshi
33611, C, N, Y, N, N, N, N, N, N, [39,26.3], [141,48.4], 120, 大槌, オオツチ, Otsuchi
33616, C, Y, Y, Y, Y, Yev, N, N, N, [39,27.0], [141,57.4], 24, 山田, ヤマダ, Yamada
33631, C, Y, Y, Y, Y, Yev, Y, Y, N, [39,18.6], [140,46.6], 250, 湯田, ユダ, Yuda
33671, C, Y, Y, Y, Y, Yev, Y, Y, N, [39,20.3], [141,32.6], 275, 遠野, トオノ, Tono
33711, C, N, Y, N, N, N, N, N, N, [39,13.5], [141,0.9], 170, 金ヶ崎, カネガサキ, Kanegasaki
33716, C, Y, Y, Y, Y, Yev, Y, N, N, [39,17.3], [141,6.6], 61, 北上, キタカミ, Kitakami
33726, C, N, Y, N, N, N, N, N, N, [39,14.0], [141,18.6], 170, 米里, ヨネサト, Yonesato
33751, C, Y, Y, Y, Y, Yev, N, N, N, [39,16.2], [141,52.7], 5, 釜石, カマイシ, Kamaishi
33776, C, Y, Y, Y, Y, Yev, N, N, N, [39,8.4], [141,3.8], 97, 若柳, ワカヤナギ, Wakayanagi
33781, C, Y, Y, Y, Y, Yev, N, N, N, [39,11.0], [141,9.7], 42, 江刺, エサシ, Esashi
33801, C, Y, Y, Y, Y, Yev, N, N, N, [39,8.5], [141,34.4], 80, 住田, スミタ, Sumita
33831, C, N, Y, N, N, N, Y, N, N, [39,0.7], [140,51.9], 350, 祭畤, マツルベ, Matsurube
33841, C, N, Y, N, N, N, N, N, N, [39,3.0], [141,2.7], 75, 衣川, コロモガワ, Koromogawa
33856, C, N, Y, N, N, N, N, N, N, [39,2.3], [141,17.8], 140, 大東, ダイトウ, Daito
33877, B, Y, Y, Y, Y, Y, Y, Y, Y, [39,3.8], [141,42.8], 37, 大船渡, オオフナト, Ofunato
33911, C, Y, Y, Y, Y, Yev, Y, Y, N, [38,56.0], [141,7.5], 32, 一関, イチノセキ, Ichinoseki
33921, C, Y, Y, Y, Y, Yev, N, N, N, [38,55.3], [141,19.8], 120, 千厩, センマヤ, Senmaya
34012, C, Y, Y, Y, Y, Yev, Y, N, N, [38,54.8], [140,49.7], 525, 駒ノ湯, コマノユ, Komanoyu
34026, C, Y, Y, Y, Y, Yev, N, N, N, [38,54.4], [141,33.4], 62, 気仙沼, ケセンヌマ, Kesennuma
34056, C, N, Y, N, N, N, N, N, N, [38,48.3], [140,56.9], 33, 鴬沢, ウグイスザワ, Uguisuzawa
34096, C, Y, Y, Y, Y, Yev, Y, N, N, [38,44.6], [140,45.6], 170, 川渡, カワタビ, Kawatabi
34111, C, Y, Y, Y, Y, Yev, N, Y, N, [38,44.1], [141,0.3], 25, 築館, ツキダテ, Tsukidate
34171, C, Y, Y, Y, Y, Yev, N, N, N, [38,37.6], [141,11.3], 5, 米山, ヨネヤマ, Yoneyama
34186, C, Y, Y, Y, Y, Yev, N, N, N, [38,40.9], [141,26.9], 39, 志津川, シヅガワ, Shizugawa
34206, C, N, Y, N, N, N, N, N, N, [38,34.3], [140,43.6], 195, 加美, カミ, Kami
34216, C, Y, Y, Y, Y, Yev, Y, Y, N, [38,35.9], [140,54.7], 28, 古川, フルカワ, Furukawa
34241, C, N, Y, N, N, N, N, N, N, [38,31.2], [141,27.9], 24, 雄勝, オガツ, Ogatsu
34262, C, N, Y, N, N, N, N, N, N, [38,24.4], [140,43.3], 630, 泉ケ岳, イズミガダケ, Mt.Izumigadake
34266, C, Y, Y, Y, Y, Yev, N, N, N, [38,28.4], [140,53.3], 57, 大衡, オオヒラ, Ohira
34276, C, Y, Y, Y, Y, Yev, N, N, N, [38,27.6], [141,5.5], 3, 鹿島台, カシマダイ, Kashimadai
34292, B, Y, Y, Y, Y, Y, Y, Y, Y, [38,25.6], [141,17.9], 43, 石巻, イシノマキ, Ishinomaki
34296, C, Y, Y, Y, Y, Yev, N, N, N, [38,26.8], [141,27.0], 38, 女川, オナガワ, Onagawa
34311, C, Y, Y, Y, Y, Yev, Y, Y, N, [38,18.2], [140,38.2], 265, 新川, ニッカワ, Nikkawa
34331, C, Y, Y, Y, Y, Yev, N, N, N, [38,20.3], [141,0.8], 105, 塩釜, シオガマ, Shiogama
34392, A, Y, Y, Y, Y, Y, Y, Y, Y, [38,15.7], [140,53.8], 39, 仙台, センダイ, Sendai
34436, C, Y, Y, Y, Y, N, Y, N, N, [38,8.3], [140,55.0], 2, 名取, ナトリ：仙台空港, Natori
34461, C, Y, Y, Y, Y, Yev, Y, Y, N, [38,0.9], [140,36.7], 86, 白石, シロイシ, Shiroishi
34462, C, Y, Y, Y, Y, Yev, N, Y, N, [38,7.6], [140,40.8], 112, 蔵王, ザオウ, Zao
34471, C, Y, Y, Y, Y, Yev, N, N, N, [38,1.5], [140,51.5], 4, 亘理, ワタリ, Watari
34506, C, Y, Y, Y, Y, Yev, N, N, N, [37,55.9], [140,46.7], 18, 丸森, マルモリ, Marumori
34526, C, N, Y, N, N, N, N, N, N, [37,49.6], [140,43.7], 305, 筆甫, ヒッポ, Hippo
35002, C, Y, Y, Y, Y, Yev, N, Y, N, [39,11.0], [139,32.6], 58, 飛島, トビシマ, Tobishima Island
35052, B, Y, Y, Y, Y, Y, Y, Y, Y, [38,54.5], [139,50.6], 3, 酒田, サカタ, Sakata
35056, C, N, Y, N, N, N, N, N, N, [38,57.9], [139,59.9], 65, 酒田大沢, サカタオオサワ, Sakata-Osawa
35071, C, Y, Y, Y, Y, Yev, N, N, N, [38,55.1], [140,12.0], 88, 差首鍋, サスナベ, Sasunabe
35086, C, Y, Y, Y, Y, N, N, N, N, [38,48.7], [139,47.2], 22, 浜中, ハマナカ：庄内空港, Hamanaka
35116, C, Y, Y, Y, Y, Yev, Y, N, N, [38,52.7], [140,19.9], 170, 金山, カネヤマ, Kaneyama
35141, C, Y, Y, Y, Y, Yev, N, Y, N, [38,44.1], [139,49.7], 16, 鶴岡, ツルオカ, Tsuruoka
35146, C, Y, Y, Y, Y, Yev, Y, N, N, [38,48.0], [139,58.4], 17, 狩川, カリカワ, Karikawa
35162, B, Y, Y, Y, Y, Y, Y, Y, Y, [38,45.4], [140,18.7], 105, 新庄, シンジョウ, Shinjo
35171, C, N, Y, N, N, N, N, N, N, [38,45.3], [140,24.8], 150, 瀬見, セミ, Semi
35176, C, Y, Y, Y, Y, Yev, Y, N, N, [38,45.5], [140,31.0], 212, 向町, ムカイマチ, Mukaimachi
35201, C, N, Y, N, N, N, Y, N, N, [38,40.3], [139,50.9], 33, 櫛引, クシビキ, Kushibiki
35216, C, Y, Y, Y, Y, Yev, Y, N, N, [38,36.4], [140,9.8], 330, 肘折, ヒジオリ, Hijiori
35231, C, Y, Y, Y, Y, Yev, Y, Y, N, [38,36.5], [140,24.7], 106, 尾花沢, オバナザワ, Obanazawa
35246, C, Y, Y, Y, Y, Yev, N, Y, N, [38,34.0], [139,33.1], 18, 鼠ケ関, ネズガセキ, Nezugaseki
35256, C, N, Y, N, N, N, N, N, N, [38,30.5], [139,46.9], 272, 荒沢, アラサワ, Arasawa
35332, C, Y, Y, Y, Y, Yev, N, Y, N, [38,27.6], [140,20.9], 80, 村山, ムラヤマ, Murayama
35334, C, Y, Y, Y, Y, N, N, N, N, [38,24.7], [140,22.2], 105, 東根, ヒガシネ：山形空港, Higashine
35361, C, Y, Y, Y, Y, Yev, Y, N, N, [38,23.4], [139,59.6], 440, 大井沢, オオイサワ, Oisawa
35376, C, Y, Y, Y, Y, Yev, Y, N, N, [38,22.2], [140,11.5], 133, 左沢, アテラザワ, Aterazawa
35426, A, Y, Y, Y, Y, Y, Y, Y, Y, [38,15.3], [140,20.7], 153, 山形, ヤマガタ, Yamagata
35456, C, Y, Y, Y, Y, Yev, Y, N, N, [38,6.3], [140,0.9], 210, 長井, ナガイ, Nagai
35466, C, N, Y, N, N, N, N, N, N, [38,7.0], [140,12.8], 270, 上山中山, カミノヤマナカヤマ, Kaminoyama-Nakayama
35486, C, Y, Y, Y, Y, Yev, Y, N, N, [38,4.7], [139,44.1], 140, 小国, オグニ, Oguni
35511, C, Y, Y, Y, Y, Yev, N, N, N, [38,0.2], [140,12.4], 220, 高畠, タカハタ, Takahata
35537, C, N, Y, N, N, N, N, N, N, [37,54.6], [139,50.6], 390, 中津川, ナカツガワ, Nakatsugawa
35541, C, Y, Y, Y, Y, Yev, N, N, N, [37,59.4], [139,57.2], 260, 高峰, タカミネ, Takamine
35552, C, Y, Y, Y, Y, Yev, Y, Y, N, [37,54.7], [140,8.6], 245, 米沢, ヨネザワ, Yonezawa
36056, C, Y, Y, Y, Y, Yev, Y, N, N, [37,53.5], [140,26.2], 200, 茂庭, モニワ, Moniwa
36066, C, Y, Y, Y, Y, Yev, N, N, N, [37,51.1], [140,35.3], 43, 梁川, ヤナガワ, Yanagawa
36106, C, Y, Y, Y, Y, Yev, N, N, N, [37,43.3], [140,3.5], 824, 桧原, ヒバラ, Hibara
36127, A, Y, Y, Y, Y, Y, Y, Y, Y, [37,45.5], [140,28.2], 67, 福島, フクシマ, Fukushima
36151, C, Y, Y, Y, Y, Yev, N, Y, N, [37,47.0], [140,55.5], 9, 相馬, ソウマ, Soma
36176, C, Y, Y, Y, Y, Yev, N, N, N, [37,39.5], [139,51.8], 212, 喜多方, キタカタ, Kitakata
36196, C, Y, Y, Y, Y, Yev, N, N, N, [37,40.1], [140,15.6], 1220, 鷲倉, ワシクラ, Washikura
36221, C, Y, Y, Y, Y, Yev, N, N, N, [37,39.9], [140,43.6], 463, 飯舘, イイタテ, Iitate
36231, C, N, Y, N, N, N, N, N, N, [37,38.3], [140,59.0], 17, 原町, ハラマチ, Haramachi
36251, C, Y, Y, Y, Y, Yev, Y, N, N, [37,35.3], [139,39.4], 165, 西会津, ニシアイヅ, Nishiaizu
36276, C, Y, Y, Y, Y, Yev, Y, Y, N, [37,33.1], [140,6.5], 519, 猪苗代, イナワシロ, Inawashiro
36291, C, Y, Y, Y, Y, Yev, N, N, N, [37,35.0], [140,25.8], 235, 二本松, ニホンマツ, Nihonmatsu
36307, C, N, Y, N, N, N, N, N, N, [37,33.6], [140,45.2], 400, 津島, ツシマ, Tsushima
36342, C, Y, Y, Y, Y, Yev, Y, N, N, [37,28.4], [139,31.7], 296, 金山, カネヤマ, Kaneyama
36361, B, Y, Y, Y, Y, Y, Y, Y, Y, [37,29.3], [139,54.6], 212, 若松, ワカマツ, Wakamatsu
36391, C, Y, Y, Y, Y, Yev, N, Y, N, [37,26.1], [140,34.6], 421, 船引, フネヒキ, Funehiki
36411, C, Y, Y, Y, Y, Yev, N, N, N, [37,29.5], [140,57.9], 43, 浪江, ナミエ, Namie
36426, C, Y, Y, Y, Y, Yev, Y, N, N, [37,20.6], [139,18.8], 377, 只見, タダミ, Tadami
36461, C, N, Y, N, N, N, N, N, N, [37,23.3], [140,5.4], 536, 湖南, コナン, Konan
36476, C, Y, Y, Y, Y, Yev, N, Y, N, [37,22.1], [140,19.8], 249, 郡山, コオリヤマ, Koriyama
36501, C, Y, Y, Y, Y, Yev, N, N, N, [37,20.2], [140,48.5], 410, 川内, カワウチ, Kawauchi
36511, C, N, Y, N, N, N, N, N, N, [37,20.8], [141,1.0], 50, 富岡, トミオカ, Tomioka
36536, C, Y, Y, Y, Y, Yev, Y, Y, N, [37,15.9], [139,32.2], 494, 南郷, ナンゴウ, Nango
36562, C, Y, Y, Y, Y, Yev, Y, N, N, [37,16.6], [140,3.8], 646, 湯本, ユモト, Yumoto
36571, C, N, Y, N, N, N, N, N, N, [37,17.3], [140,13.1], 317, 長沼, ナガヌマ, Naganuma
36581, C, Y, Y, Y, Y, N, Y, N, N, [37,13.6], [140,25.6], 372, 玉川, タマカワ：福島空港, Tamakawa
36591, C, Y, Y, Y, Y, Yev, N, N, N, [37,17.2], [140,37.5], 433, 小野新町, オノニイマチ, Ono-Niimachi
36597, C, N, Y, N, N, N, N, N, N, [37,14.8], [140,43.4], 492, 川前, カワマエ, Kawamae
36611, C, Y, Y, Y, Y, Yev, N, N, N, [37,14.0], [141,0.0], 43, 広野, ヒロノ, Hirono
36641, C, Y, Y, Y, Y, Yev, Y, N, N, [37,12.4], [139,47.7], 544, 田島, タジマ, Tajima
36667, B, Y, Y, Y, Y, Y, Y, Y, Y, [37,7.9], [140,12.9], 355, 白河, シラカワ, Shirakawa
36676, C, Y, Y, Y, Y, Yev, N, N, N, [37,8.8], [140,27.6], 290, 石川, イシカワ, Ishikawa
36716, C, Y, Y, Y, Y, Yev, Y, N, N, [37,0.6], [139,22.5], 973, 桧枝岐, ヒノエマタ, Hinoemata
36726, C, N, Y, N, N, N, N, N, N, [37,5.5], [139,31.9], 690, 舘岩, タテイワ, Tateiwa
36781, C, N, Y, N, N, N, N, N, N, [37,3.9], [140,52.6], 12, 平, タイラ, Taira
36821, C, Y, Y, Y, Y, Yev, N, Y, N, [36,56.3], [140,24.5], 183, 東白川, ヒガシシラカワ, Higashi-Shirakawa
36836, C, Y, Y, Y, Y, Yev, N, N, N, [36,56.0], [140,44.0], 25, 山田, ヤマダ, Yamada
36846, B, Y, Y, Y, Y, Y, N, Y, Y, [36,56.8], [140,54.2], 3, 小名浜, オナハマ, Onahama
40041, C, N, Y, N, N, N, N, N, N, [36,52.1], [140,38.2], 370, 花園, ハナゾノ, Hanazono
